[09:29:41.109] Global cache location '/Users/botten/Library/Caches/typescript/4.5', safe file path '/users/botten/.emacs.d/.local/etc/lsp/npm/typescript/lib/node_modules/typescript/lib/typingsafelist.json', types map path /users/botten/.emacs.d/.local/etc/lsp/npm/typescript/lib/node_modules/typescript/lib/typesmap.json
[09:29:41.531] Adding entry into typings cache: 'file-entry-cache' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/file-entry-cache/index.d.ts'
[09:29:41.538] Adding entry into typings cache: 'fill-range' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/fill-range/index.d.ts'
[09:29:41.546] Adding entry into typings cache: 'flat-cache' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/flat-cache/index.d.ts'
[09:29:41.553] Adding entry into typings cache: 'fs-readdir-recursive' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/fs-readdir-recursive/index.d.ts'
[09:29:41.561] Adding entry into typings cache: 'function-bind' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/function-bind/index.d.ts'
[09:29:41.569] Adding entry into typings cache: 'functional-red-black-tree' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/functional-red-black-tree/index.d.ts'
[09:29:41.577] Adding entry into typings cache: 'get-intrinsic' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/get-intrinsic/index.d.ts'
[09:29:41.590] Adding entry into typings cache: 'get-value' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/get-value/index.d.ts'
[09:29:41.598] Adding entry into typings cache: 'glob' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/glob/index.d.ts'
[09:29:41.606] Adding entry into typings cache: 'glob-parent' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/glob-parent/index.d.ts'
[09:29:41.614] Adding entry into typings cache: 'graceful-fs' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/graceful-fs/index.d.ts'
[09:29:41.621] Adding entry into typings cache: 'has' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/has/index.d.ts'
[09:29:41.629] Adding entry into typings cache: 'has-symbols' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/has-symbols/index.d.ts'
[09:29:41.637] Adding entry into typings cache: 'html-encoding-sniffer' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/html-encoding-sniffer/index.d.ts'
[09:29:41.644] Adding entry into typings cache: 'html-escaper' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/html-escaper/index.d.ts'
[09:29:41.651] Adding entry into typings cache: 'imurmurhash' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/imurmurhash/index.d.ts'
[09:29:41.660] Adding entry into typings cache: 'inherits' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/inherits/index.d.ts'
[09:29:41.668] Adding entry into typings cache: 'is-buffer' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/is-buffer/index.d.ts'
[09:29:41.676] Adding entry into typings cache: 'is-ci' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/is-ci/index.d.ts'
[09:29:41.684] Adding entry into typings cache: 'is-core-module' => '/Users/botten/Library/Caches/typescript/4.5/node_modules/@types/is-core-module/index.d.ts'
